ID,rader,year,authors,title,journal,vol,begin,end,DOI,exclude,rationale
173,Stephanie,2015,"Kuebbing, Sara E.; Classen, Aimee T.; Call, Jaime J.; Henning, Jeremiah A.; Simberloff, Daniel",Plant-soil interactions promote co-occurrence of three nonnative woody shrubs,ECOLOGY,96,2289,2299,10.1890/14-2006.1,1,Only looked at shrubs through soil
174,Stephanie,2015,"Noumi, Zouhaier",Effects of exotic and endogenous shrubs on understory vegetation and soil nutrients in the south of Tunisia,JOURNAL OF ARID LAND,7,481,487,10.1007/s40333-015-0047-7,0,
175,Stephanie,2015,"Fleury, Marina; Marcelo, Wara; Vasquez, Rodrigo A.; Alberto Gonzalez, Luis; Bustamante, Ramiro O.","Recruitment Dynamics of the Relict Palm, Jubaea chilensis: Intricate and Pervasive Effects of Invasive Herbivores and Nurse Shrubs in Central Chile",PLOS ONE,10,,,10.1371/journal.pone.0133559,0,
176,Stephanie,2015,"Talamo, Andres; Barchuk, Alicia H.; Garibaldi, Lucas A.; Trucco, Carlos E.; Cardozo, Silvana; Mohr, Federico",Disentangling the effects of shrubs and herbivores on tree regeneration in a dry Chaco forest (Argentina),OECOLOGIA,178,847,854,10.1007/s00442-015-3269-7,0,
177,Stephanie,2015,"Noumi, Zouhaier; Chaieb, Mohamed; Michalet, Richard; Touzard, Blaise",Limitations to the use of facilitation as a restoration tool in arid grazed savanna: a case study,APPLIED VEGETATION SCIENCE,18,391,401,10.1111/avsc.12158,0,
178,Stephanie,2015,"Rangel-Landa, Selene; Casas, Alejandro; Davila, Patricia",Facilitation of Agave potatorum: An ecological approach for assisted population recovery,FOREST ECOLOGY AND MANAGEMENT,347,57,74,10.1016/j.foreco.2015.03.003,1,habitat is alpine
179,Stephanie,2015,"Castanho, Camila T.; Oliveira, Alexandre A.; Prado, Paulo Inacio K. L.",Does extreme environmental severity promote plant facilitation? An experimental field test in a subtropical coastal dune,OECOLOGIA,178,855,866,10.1007/s00442-015-3285-7,1,habitat is not arid
180,Stephanie,2015,"Camac, James S.; Williams, Richard J.; Wahren, Carl-Henrik; Jarrad, Frith; Hoffmann, Ary A.; Vesk, Peter A.",Modeling rates of life form cover change in burned and unburned alpine heathland subject to experimental warming,OECOLOGIA,178,615,628,10.1007/s00442-015-3261-2,1,data not divided among species
181,Stephanie,2015,"Zhang, GeFei; Zhao, WenZhi",Species-specific traits determine shrub-annual interactions during a growing season,JOURNAL OF ARID LAND,7,403,413,10.1007/s40333-014-0039-z,1,data not provided
182,Stephanie,2015,"Synodinos, Alexis D.; Tietjen, Britta; Jeltsch, Florian",Facilitation in drylands: Modeling a neglected driver of savanna dynamics,ECOLOGICAL MODELLING,304,11,21,10.1016/j.ecolmodel.2015.02.015,1,not a field study
183,Stephanie,2015,"Schweiger, Andreas H.; Otieno, Dennis O.; Kulunge, Salum R.; Reineking, Bjoern; Tenhunen, John",The Afro-alpine dwarf shrub Helichrysum citrispinum favours understorey plants through microclimate amelioration,PLANT ECOLOGY & DIVERSITY,8,293,303,10.1080/17550874.2015.1014207,1,habitat is alpine
184,Stephanie,2015,"Wheeler, J. A.; Schnider, F.; Sedlacek, J.; Cortes, A. J.; Wipf, S.; Hoch, G.; Rixen, C.",With a little help from my friends: Community facilitation increases performance in the dwarf shrub Salix herbacea,BASIC AND APPLIED ECOLOGY,16,202,209,10.1016/j.baae.2015.02.004,1,habitat is alpine
185,Stephanie,2015,"Maher, Colin T.; Barber, Adelia L.; Affleck, David L. R.","Shelter provided by wood, facilitation, and density-dependent herbivory influence Great Basin bristlecone pine seedling survival",FOREST ECOLOGY AND MANAGEMENT,342,76,83,10.1016/j.foreco.2015.01.015,1,habitat is alpine
186,Stephanie,2015,"Torroba-Balmori, Paloma; Zaldivar, Pilar; Alday, Josu G.; Fernandez-Santos, Belen; Martinez-Ruiz, Carolina",Recovering Quercus species on reclaimed coal wastes using native shrubs as restoration nurse plants,ECOLOGICAL ENGINEERING,77,146,153,10.1016/j.ecoleng.2015.01.024,1,habitat is not arid
187,Stephanie,2015,"Caceres, Yolanda; Llambi, Luis D.; Rada, Fermin",Shrubs as foundation species in a high tropical alpine ecosystem: a multi-scale analysis of plant spatial interactions,PLANT ECOLOGY & DIVERSITY,8,147,161,10.1080/17550874.2014.960173,1,habitat is alpine
188,Stephanie,2015,"Swaffer, Brooke A.; Holland, Kate L.","Comparing ecophysiological traits and evapotranspiration of an invasive exotic, Pinus halepensis in native woodland overlying a karst aquifer",ECOHYDROLOGY,8,230,242,10.1002/eco.1502,1,habitat is not arid
189,Stephanie,2015,"Muhamed, Hassan; Lingua, Emanuele; Maalouf, Jean-Paul; Michalet, Richard",Shrub-oak seedling spatial associations change in response to the functional composition of neighbouring shrubs in coastal dune forest communities,ANNALS OF FOREST SCIENCE,72,231,241,10.1007/s13595-014-0419-8,1,habitat is not arid
190,Stephanie,2015,"Michalet, Richard; Chen, Shu-yan; An, Li-zhe; Wang, Xiang-tai; Wang, Yu-xin; Guo, Peng; Ding, Chen-chen; Xiao, Sa",Communities: are they groups of hidden interactions?,JOURNAL OF VEGETATION SCIENCE,26,207,218,10.1111/jvs.12226,1,habitat is not arid
191,Stephanie,2015,"Al Hayek, Patrick; Maalouf, Jean-Paul; Baumel, Alex; Dagher-Kharrat, Magda Bou; Medail, Frederic; Touzard, Blaise; Michalet, Richard",Differential effects of contrasting phenotypes of a foundation legume shrub drive plant-plant interactions in a Mediterranean mountain,JOURNAL OF VEGETATION SCIENCE,26,373,384,10.1111/jvs.12246,1,habitat is alpine
192,Stephanie,2015,"He, Qiang; Cui, Baoshan",Multiple mechanisms sustain a plant-animal facilitation on a coastal ecotone,SCIENTIFIC REPORTS,5,,,10.1038/srep08612,1,habitat is not arid
193,Stephanie,2015,"Castanho, Camila de Toledo; Lortie, Christopher J.; Zaitchik, Benjamin; Prado, Paulo Inacio","A meta-analysis of plant facilitation in coastal dune systems: responses, regions, and research gaps",PEERJ,3,,,10.7717/peerj.768,1,review
194,Stephanie,2015,"Smit, Christian; Ruifrok, Jasper L.; van Klink, Roe; Olff, Han",Rewilding with large herbivores: The importance of grazing refuges for sapling establishment and wood-pasture formation,BIOLOGICAL CONSERVATION,182,134,142,10.1016/j.biocon.2014.11.047,1,not a plant-plant interactions study
195,Stephanie,2015,"Cipriotti, Pablo A.; Aguiar, Martin R.",Is the balance between competition and facilitation a driver of the patch dynamics in arid vegetation mosaics?,OIKOS,124,139,149,10.1111/oik.01758,0,
196,Stephanie,2015,"Ramirez, Lirey A.; Rada, Fermin; Llambi, Luis D.",Linking patterns and processes through ecosystem engineering: effects of shrubs on microhabitat and water status of associated plants in the high tropical Andes,PLANT ECOLOGY,216,213,225,10.1007/s11258-014-0429-5,1,habitat is alpine
197,Stephanie,2015,"Saintilan, Neil; Rogers, Kerrylee",Woody plant encroachment of grasslands: a comparison of terrestrial and wetland settings,NEW PHYTOLOGIST,205,1062,1070,10.1111/nph.13147,1,review
198,Stephanie,2015,"Erfanifard, Y.; Khosravi, E.",MODELING THE SPATIAL DISTRIBUTION OF ESHNAN (SEIDLITZIA ROSMARINUS) SHRUBS TO EXPLORING THEIR ECOLOGICAL INTERACTIONS IN DRYLANDS OF CENTRAL IRAN,International Archives of the Photogrammetry Remote Sensing and Spatial Information Sciences,41,163,168,10.5194/isprsarchives-XL-1-W5-163-2015,1,only looked at spatial aggregation
199,Stephanie,2015,"Fujita, Tomohiro; Mizuno, Kazuharu",Role of nurse rocks on woody plant establishment in a South African grassland,TROPICS,24,57,64,10.3759/tropics.24.57,1,habitat is not arid
200,Stephanie,2015,"Lembrechts, Jonas J.; Milbau, Ann; Nijs, Ivan",Trade-off between competition and facilitation defines gap colonization in mountains,AOB PLANTS,7,,,10.1093/aobpla/plv128,1,habitat is alpine
201,Nargol,2015,"Garcia, Rafael A.; Engler, Maria L.; Pena, Eduardo; Pollnac, Fredric W.; Pauchard, Anibal",Fuel characteristics of the invasive shrub Teline monspessulana (L.) K. Koch,INTERNATIONAL JOURNAL OF WILDLAND FIRE,24,372,379,10.1071/WF13078,,
202,Nargol,2015,"Vlasakova, Blanka","Density dependence in flower visitation rates of cockroach-pollinated Clusia blattophila on the Nouragues inselberg, French Guiana",JOURNAL OF TROPICAL ECOLOGY,31,95,98,10.1017/S0266467414000571,,
203,Nargol,2015,"Holmgren, Milena; Lin, Ching-Yen; Murillo, Julian E.; Nieuwenhuis, Annelies; Penninkhof, Joyce; Sanders, Natasja; van Bart, Thomas; van Veen, Huib; Vasander, Harri; Vollebregt, Marlies E.; Limpens, Juul",Positive shrub-tree interactions facilitate woody encroachment in boreal peatlands,JOURNAL OF ECOLOGY,103,58,66,10.1111/1365-2745.12331,,
204,Nargol,2015,"Amat, Beatriz; Cortina, Jordi; Jacobo Zubcoff, Jose",Community attributes determine facilitation potential in a semi-arid steppe,PERSPECTIVES IN PLANT ECOLOGY EVOLUTION AND SYSTEMATICS,17,24,33,10.1016/j.ppees.2014.10.001,,
205,Nargol,2015,"Egawa, Chika; Tsuyuzaki, Shiro",Occurrence patterns of facilitation by shade along a water gradient are mediated by species traits,ACTA OECOLOGICA-INTERNATIONAL JOURNAL OF ECOLOGY,62,45,52,10.1016/j.actao.2014.12.001,,
206,Nargol,2015,"Paz Esquivias, M.; Zunzunegui, Maria; Diaz Barradas, Mari Cruz; Alvarez-Cansino, Leonor",Competitive effect of a native-invasive species on a threatened shrub in a Mediterranean dune system,OECOLOGIA,177,133,146,10.1007/s00442-014-3106-4,,
207,Nargol,2015,"Moreno-Gutierrez, Cristina; Battipaglia, Giovanna; Cherubini, Paolo; Delgado Huertas, Antonio; Ignacio Querejeta, Jose",Pine afforestation decreases the long-term performance of understorey shrubs in a semi-arid Mediterranean ecosystem: a stable isotope approach,FUNCTIONAL ECOLOGY,29,15,25,10.1111/1365-2435.12311,,
208,Nargol,2014,"Alday, Josu G.; Santana, Victor M.; Marrs, Rob H.; Martinez-Ruiz, Carolina",Shrub-induced understory vegetation changes in reclaimed mine sites,ECOLOGICAL ENGINEERING,73,691,698,10.1016/j.ecoleng.2014.09.079,,
209,Nargol,2014,"Shewhart, Lauren; McEwan, Ryan W.; Benbow, M. Eric",Evidence for Facilitation of Culex pipiens (Diptera: Culicidae) Life History Traits by the Nonnative Invasive Shrub Amur Honeysuckle (Lonicera maackii),ENVIRONMENTAL ENTOMOLOGY,43,1584,1593,10.1603/EN14183,,
210,Nargol,2014,"Vogt, Juliane; Lin, Yue; Pranchai, Aor; Frohberg, Peter; Mehlig, Ulf; Berge, Uta",The importance of conspecific facilitation during recruitment and regeneration: A case study in degraded mangroves,BASIC AND APPLIED ECOLOGY,15,651,660,10.1016/j.baae.2014.09.005,,
211,Nargol,2014,"Arcese, P.; Schuster, R.; Campbell, L.; Barber, A.; Martin, T. G.","Deer density and plant palatability predict shrub cover, richness, diversity and aboriginal food value in a North American archipelago",DIVERSITY AND DISTRIBUTIONS,20,1368,1378,10.1111/ddi.12241,,
212,Nargol,2014,"Filazzola, Alessandro; Lortie, Christopher J.",A systematic review and conceptual framework for the mechanistic pathways of nurse plants,GLOBAL ECOLOGY AND BIOGEOGRAPHY,23,1335,1345,10.1111/geb.12202,,
213,Nargol,2014,"Rysavy, Anne; Seifan, Merav; Sternberg, Marcelo; Tielboerger, Katja",Shrub seedling survival under climate change - Comparing natural and experimental rainfall gradients,JOURNAL OF ARID ENVIRONMENTS,111,14,21,10.1016/j.jaridenv.2014.07.004,,
214,Nargol,2014,"McAllister, Monica M.; Schooley, Robert L.; Bestelmeyer, Brandon T.; Coffman, John M.; Cosentino, Bradley J.",Effects of grassland restoration efforts on mound-building ants in the Chihuahuan Desert,JOURNAL OF ARID ENVIRONMENTS,111,79,83,10.1016/j.jaridenv.2014.08.005,,
215,Nargol,2014,"Carvajal, Danny E.; Loayza, Andrea P.; Lopez, Ramiro P.; Toro, Pablo J.; Squeo, Francisco A.",Growth and early seedling survival of four Atacama Desert shrub species under experimental light and water availability regimes,REVISTA CHILENA DE HISTORIA NATURAL,87,,,10.1186/s40693-014-0028-9,,
216,Nargol,2014,"He, Mingzhu; Dijkstra, Feike A.; Zhang, Ke; Li, Xinrong; Tan, Huijuan; Gao, Yanhong; Li, Gang",Leaf nitrogen and phosphorus of temperate desert plants in response to climate and soil nutrient availability,SCIENTIFIC REPORTS,4,,,10.1038/srep06932,,
217,Nargol,2014,"Sotomayor, Diego A.; Lortie, Christopher J.; Lamarque, Laurent J.",Nurse-plant effects on the seed biology and germination of desert annuals,AUSTRAL ECOLOGY,39,786,794,10.1111/aec.12144,,
218,Nargol,2014,"Schoeb, Christian; Callaway, Ragan M.; Anthelme, Fabien; Brooker, Rob W.; Cavieres, Lohengrin A.; Kikvidze, Zaal; Lortie, Christopher J.; Michalet, Richard; Pugnaire, Francisco I.; Xiao, Sa; Cranston, Brittany H.; Garcia, Mary-Carolina; Hupp, Nicole R.; Llambi, Luis D.; Lingua, Emanuele; Reid, Anya M.; Zhao, Liang; Butterfield, Bradley J.",The context dependence of beneficiary feedback effects on benefactors in plant facilitation,NEW PHYTOLOGIST,204,386,396,10.1111/nph.12908,,
219,Nargol,2014,"Jones, Lisa C.; Schwinning, Susanne; Esque, Todd C.","Seedling Ecology and Restoration of Blackbrush (Coleogyne ramosissima) in the Mojave Desert, United States",RESTORATION ECOLOGY,22,692,700,10.1111/rec.12128,,
220,Nargol,2014,"Castanho, Camila de Toledo; Prado, Paulo Inacio",Benefit of Shading by Nurse Plant Does Not Change along a Stress Gradient in a Coastal Dune,PLOS ONE,9,,,10.1371/journal.pone.0105082,,
221,Nargol,2014,"Saiz, Hugo; Alados, Concepcion L.",Effect of livestock grazing in the partitions of a semiarid plant-plant spatial signed network,ACTA OECOLOGICA-INTERNATIONAL JOURNAL OF ECOLOGY,59,18,25,10.1016/j.actao.2014.05.006,,
222,Nargol,2014,"Fernandez, Gaston; Texeira, Marcos; Altesor, Alice",The small scale spatial pattern of C-3 and C-4 grasses depends on shrub distribution,AUSTRAL ECOLOGY,39,532,539,10.1111/aec.12113,,
223,Nargol,2014,"Moore, Oliver; Crawley, Michael J.",The natural exclusion of red deer from large boulder grazing refugia and the consequences for saxicolous bryophyte and lichen ecology,BIODIVERSITY AND CONSERVATION,23,2305,2319,10.1007/s10531-014-0725-3,,
224,Nargol,2014,"Kleinhesselink, Andrew R.; Magnoli, Susan M.; Cushman, J. Hall",Shrubs as ecosystem engineers across an environmental gradient: effects on species richness and exotic plant invasion,OECOLOGIA,175,1277,1290,10.1007/s00442-014-2972-0,,
225,Nargol,2014,"Liu, Xianzhao; Lu, Yuanchang; Xue, Yang; Zhang, Xiongqing",Testing the importance of native plants in facilitation the restoration of coastal plant communities dominated by exotics,FOREST ECOLOGY AND MANAGEMENT,322,19,26,10.1016/j.foreco.2014.03.020,,
226,Nargol,2014,"Sriladda, Chalita; Kjelgren, Roger; Kratsch, Heidi; Monaco, Thomas; Larson, Steven; Shen, FenAnn",ECOLOGICAL ADAPTATION OF THE ENDEMIC SHEPHERDIA ROTUNDIFOLIA TO CONDITIONS IN ITS COLORADO PLATEAU RANGE,WESTERN NORTH AMERICAN NATURALIST,74,79,91,10.3398/064.074.0119,,
227,Nargol,2014,"Senfeldr, Martin; Treml, Vaclav; Madera, Petr; Volarik, Daniel","Effects of Prostrate Dwarf Pine on Norway Spruce Clonal Groups in the Treeline Ecotone of the Hruby Jesenik Mountains, Czech Republic",ARCTIC ANTARCTIC AND ALPINE RESEARCH,46,430,440,10.1657/1938-4246-46.2.430,,
228,Nargol,2014,"Perea, Ramon; Gil, Luis",Shrubs facilitating seedling performance in ungulate-dominated systems: biotic versus abiotic mechanisms of plant facilitation,EUROPEAN JOURNAL OF FOREST RESEARCH,133,525,534,10.1007/s10342-014-0782-x,,
229,Nargol,2014,"Garbin, Mario L.; Sanchez-Tapia, Andrea; Carrijo, Tatiana T.; Sansevero, Jeronimo B. B.; Scarano, Fabio R.",Functional traits behind the association between climbers and subordinate woody species,JOURNAL OF VEGETATION SCIENCE,25,715,723,10.1111/jvs.12140,,
230,Nargol,2014,"Ferreiro-Dominguez, N.; Rigueiro-Rodriguez, A.; Bianchetto, E.; Mosquera-Losad, M. R.",Effect of lime and sewage sludge fertilisation on tree and understory interaction in a silvopastoral system,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,188,72,79,10.1016/j.agee.2014.02.007,,
231,Nargol,2014,"Louthan, Allison M.; Doak, Daniel F.; Goheen, Jacob R.; Palmer, Todd M.; Pringle, Robert M.",Mechanisms of plant-plant interactions: concealment from herbivores is more important than abiotic-stress mediation in an African savannah,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,281,,,10.1098/rspb.2013.2647,,
232,Nargol,2014,"Iannone, Basil V., III; Zellner, Moira L.; Wise, David H.","Modeling the impacts of life-history traits, canopy gaps, and establishment location on woodland shrub invasions",ECOLOGICAL APPLICATIONS,24,467,483,10.1890/13-0833.1,,
233,Nargol,2014,"Paz Esquivias, M.; Zunzunegui, Maria; Diaz Barradas, Mari Cruz; Alvarez-Cansino, Leonor",The role of water use and uptake on two Mediterranean shrubs' interaction in a brackish coastal dune ecosystem,ECOHYDROLOGY,7,783,793,10.1002/eco.1401,,
234,Nargol,2014,"Poulos, Jesse M.; Rayburn, Andrew P.; Schupp, Eugene W.","Simultaneous, independent, and additive effects of shrub facilitation and understory competition on the survival of a native forb (Penstemon palmeri)",PLANT ECOLOGY,215,417,426,10.1007/s11258-014-0312-4,,
235,Nargol,2014,"Soliveres, Santiago; Eldridge, David J.",Do changes in grazing pressure and the degree of shrub encroachment alter the effects of individual shrubs on understorey plant communities and soil function?,FUNCTIONAL ECOLOGY,28,530,537,10.1111/1365-2435.12196,,
236,Nargol,2014,"Caldeira, Maria C.; Ibanez, Ines; Nogueira, Carla; Bugalho, Miguel N.; Lecomte, Xavier; Moreira, Andreia; Pereira, Joao S.",Direct and indirect effects of tree canopy facilitation in the recruitment of Mediterranean oaks,JOURNAL OF APPLIED ECOLOGY,51,349,358,10.1111/1365-2664.12189,,
237,Nargol,2014,"Gonzalez-Roman, Ruben D.; Lopez-Victoria, Mateo; Silverstone-Sopkin, Philip A.","Terrestrial flora of Malpelo Island, Colombia, Eastern Tropical Pacific",REVISTA DE BIOLOGIA TROPICAL,62,327,336,,,
238,Nargol,2014,"Ziffer-Berger, Jotham; Weisberg, Peter J.; Cablk, Mary E.; Osem, Yagil",Spatial patterns provide support for the stress-gradient hypothesis over a range-wide aridity gradient,JOURNAL OF ARID ENVIRONMENTS,102,27,33,10.1016/j.jaridenv.2013.11.006,,
239,Nargol,2014,"Mullah, Collins Jared Amwatta; Klanderud, Kari; Totland, Orjan; Kigomo, Bernard",Relationships between the density of two potential restoration tree species and plant species abundance and richness in a degraded Afromontane forest of Kenya,AFRICAN JOURNAL OF ECOLOGY,52,77,87,10.1111/aje.12095,,
240,Nargol,2014,"Fan, Weiyi; Guo, Hua; Wang, Xiaoan; Duan, Renyan","The effects of microhabitat, plant litter, and seed burial on the regeneration of Quercus wutaishanica and Pinus tabulaeformis",SCANDINAVIAN JOURNAL OF FOREST RESEARCH,29,183,192,10.1080/02827581.2014.885563,,
241,Nargol,2014,"Porensky, Lauren M.; Leger, Elizabeth A.; Davison, Jay; Miller, W. Wally; Goergen, Erin M.; Espeland, Erin K.; Carroll-Moore, Erin M.","Arid old-field restoration: Native perennial grasses suppress weeds and erosion, but also suppress native shrubs",AGRICULTURE ECOSYSTEMS & ENVIRONMENT,184,135,144,10.1016/j.agee.2013.11.026,,
242,Nargol,2014,"Flombaum, Pedro; Sala, Osvaldo E.; Rastetter, Edward B.","Interactions among resource partitioning, sampling effect, and facilitation on the biodiversity effect: a modeling approach",OECOLOGIA,174,559,566,10.1007/s00442-013-2775-8,,
243,Nargol,2014,"Perea, Ramon; Gil, Luis",Tree regeneration under high levels of wild ungulates: The use of chemically vs. physically-defended shrubs,FOREST ECOLOGY AND MANAGEMENT,312,47,54,10.1016/j.foreco.2013.10.022,,
244,Nargol,2014,"Wyckoff, Peter H.; Shaffer, Andrew; Hucka, Brenna; Bombyk, Matthew; Wipf, Angela",No evidence of facilitation between invasive Rhamnus cathartica (European buckthorn) and invasive earthworms in west central Minnesota,PEDOBIOLOGIA,57,311,317,10.1016/j.pedobi.2014.03.006,,
245,Nargol,2014,"Kostrakiewicz-Gieralt, Kinga",ARE DESCHAMPSIA CAESPITOSA (L.) BEAUV. TUSSOCKS SAFE SITES FOR SEEDLING RECRUITMENT IN THE SUCCESSION OF WET MEADOWS?,POLISH JOURNAL OF ECOLOGY,62,707,721,10.3161/104.062.0414,,
246,Nargol,2014,"He, Yuhui; Liu, Xinping; Xie, Zhongkui",SHRUB EFFECTS ON HERBACEOUS VEGETATION VARY WITH GROWTH STAGES AND HERB RELATIVE LOCATION,POLISH JOURNAL OF ECOLOGY,62,421,429,10.3161/104.062.0304,,
247,Nargol,2014,"Leimgruber, Peter; McShea, William J.; Songer, Melissa",Vertical habitat segregation as a mechanism for coexistence in sympatric rodents,MAMMALIAN BIOLOGY,79,313,317,10.1016/j.mambio.2014.04.002,,
248,Nargol,2014,"Antonio Tiscar, Pedro; Carlos Linares, Juan",Large- Scale Regeneration Patterns of Pinus nigra Subsp salzmannii: Poor Evidence of Increasing Facilitation Across a Drought Gradient,FORESTS,5,1,20,10.3390/f5010001,,
249,Nargol,2014,"Soliveres, Santiago; Maestre, Fernando T.; Bowker, Matthew A.; Torices, Ruben; Quero, Jose L.; Garcia-Gomez, Miguel; Cabrera, Omar; Cea, Alex P.; Coaguila, Daniel; Eldridge, David J.; Espinosa, Carlos I.; Hemmings, Frank; Monerris, Jorge J.; Tighe, Matthew; Delgado-Baquerizo, Manuel; Escolar, Cristina; Garcia-Palacios, Pablo; Gozalo, Beatriz; Ochoa, Victoria; Blones, Julio; Derak, Mchich; Ghiloufi, Wahida; Gutierrez, Julio R.; Hernandez, Rosa M.; Noumi, Zouhaier",Functional traits determine plant co-occurrence more than environment or evolutionary relatedness in global drylands,PERSPECTIVES IN PLANT ECOLOGY EVOLUTION AND SYSTEMATICS,16,164,173,10.1016/j.ppees.2014.05.001,,
250,Nargol,2014,"Saiz, H.; Alados, C. L.; Pueyo, Y.",Plant-plant spatial association networks in gypsophilous communities: the influence of aridity and grazing and the role of gypsophytes in its structure,WEB ECOLOGY,14,39,49,10.5194/we-14-39-2014,,
251,Nargol,2013,"Cranston, Brittany H.; Hermanutz, Luise",Seed-seedling conflict in conifers as a result of plant-plant interactions at the forest-tundra ecotone,PLANT ECOLOGY & DIVERSITY,6,319,327,10.1080/17550874.2013.806603,,
252,Nargol,2013,"Wang, Youshi; Yang, Zhiyong; Zhou, Shurong; Soininen, Janne; Ai, Dexiecuo; Li, Yali; Chu, Chengjin",The Effect of Positive Interactions on Temporal Turnover of Community Composition along an Environmental Gradient,PLOS ONE,8,,,10.1371/journal.pone.0078698,,
253,Nargol,2013,"Azihou, Akomian Fortune; Kakai, Romain Glele; Sinsin, Brice",Do isolated gallery-forest trees facilitate recruitment of forest seedlings and saplings in savannna?,ACTA OECOLOGICA-INTERNATIONAL JOURNAL OF ECOLOGY,53,11,18,10.1016/j.actao.2013.08.001,,
254,Nargol,2013,"Lloret, Francisco; Granzow-de la Cerda, Inigo",Plant competition and facilitation after extreme drought episodes in Mediterranean shrubland: does damage to vegetation cover trigger replacement by juniperwoodland?,JOURNAL OF VEGETATION SCIENCE,24,1020,1032,10.1111/jvs.12030,,
255,Nargol,2013,"Blaser, Wilma J.; Sitters, Judith; Hart, Simon P.; Edwards, Peter J.; Venterink, Harry Olde","Facilitative or competitive effects of woody plants on understorey vegetation depend on N-fixation, canopy shape and rainfall",JOURNAL OF ECOLOGY,101,1598,1603,10.1111/1365-2745.12142,,
256,Nargol,2013,"Liu, Rentao; Zhu, Fan; Song, Naiping; Yang, Xinguo; Chai, Yongqing",Seasonal Distribution and Diversity of Ground Arthropods in Microhabitats Following a Shrub Plantation Age Sequence in Desertified Steppe,PLOS ONE,8,,,10.1371/journal.pone.0077962,,
257,Nargol,2013,"Catorci, Andrea; Cesaretti, Sabrina; Velasquez, Jose Luis; Burrascano, Sabina; Zeballos, Horacio",Management type affects composition and facilitative processes in altoandine dry grassland,ACTA OECOLOGICA-INTERNATIONAL JOURNAL OF ECOLOGY,52,19,28,10.1016/j.actao.2013.06.005,,
258,Nargol,2013,"Ameztegui, Aitor; Coll, Lluis",Unraveling the role of light and biotic interactions on seedling performance of four Pyrenean species along environmental gradients,FOREST ECOLOGY AND MANAGEMENT,303,25,34,10.1016/j.foreco.2013.04.011,,
259,Nargol,2013,"Schoeb, Christian; Armas, Cristina; Pugnaire, Francisco I.",Direct and indirect interactions co-determine species composition in nurse plant systems,OIKOS,122,1371,1379,10.1111/j.1600-0706.2013.00390.x,,
260,Nargol,2013,"Liu, Nan; Ren, Hai; Yuan, Sufen; Guo, Qinfeng; Yang, Long",Testing the Stress-Gradient Hypothesis During the Restoration of Tropical Degraded Land Using the Shrub Rhodomyrtus tomentosa as a Nurse Plant,RESTORATION ECOLOGY,21,578,584,10.1111/j.1526-100X.2012.00937.x,,
261,Nargol,2013,"Angelica Gomez-Ruiz, Pilar; Lindig-Cisneros, Roberto; Vargas-Rios, Orlando","Facilitation among plants: A strategy for the ecological restoration of the high-andean forest (Bogota, DC-Colombia)",ECOLOGICAL ENGINEERING,57,267,275,10.1016/j.ecoleng.2013.04.049,,
262,Nargol,2013,"Eldridge, David J.; Soliveres, Santiago; Bowker, Matthew A.; Val, James",Grazing dampens the positive effects of shrub encroachment on ecosystem functions in a semi-arid woodland,JOURNAL OF APPLIED ECOLOGY,50,1028,1038,10.1111/1365-2664.12105,,
263,Nargol,2013,"Wang, Yange; Yang, Xiaohui; Shi, Zhongjie","The Formation of the Patterns of Desert Shrub Communities on the Western Ordos Plateau, China: The Roles of Seed Dispersal and Sand Burial",PLOS ONE,8,,,10.1371/journal.pone.0069970,,
264,Nargol,2013,"Madrigal-Gonzalez, Jaime; Cea, Alex P.; Sanchez-Fernandez, Leticia A.; Martinez-Tilleria, Karina P.; Calderon, Juan E.; Gutierrez, Julio R.",Facilitation of the non-native annual plant Mesembryanthemum crystallinum (Aizoaceae) by the endemic cactus Eulychnia acida (Cactaceae) in the Atacama Desert,BIOLOGICAL INVASIONS,15,1439,1447,10.1007/s10530-012-0382-y,,
265,Nargol,2013,"Muhamed, Hassan; Maalouf, Jean-Paul; Michalet, Richard",Summer drought and canopy opening increase the strength of the oak seedlings-shrub spatial association,ANNALS OF FOREST SCIENCE,70,345,355,10.1007/s13595-013-0264-1,,
266,Nargol,2013,"Muhamed, Hassan; Touzard, Blaise; Le Bagousse-Pinguet, Yoann; Michalet, Richard",The role of biotic interactions for the early establishment of oak seedlings in coastal dune forest communities,FOREST ECOLOGY AND MANAGEMENT,297,67,74,10.1016/j.foreco.2013.02.023,,
267,Nargol,2013,"Bartels, Samuel F.; Chen, Han Y. H.",Interactions between overstorey and understorey vegetation along an overstorey compositional gradient,JOURNAL OF VEGETATION SCIENCE,24,543,552,10.1111/j.1654-1103.2012.01479.x,,
268,Florencia,2013,"Ruwanza, Sheunesu; Gaertner, Mirijam; Esler, Karen J.; Richardson, David M.","Both complete clearing and thinning of invasive trees lead to short-term recovery of native riparian vegetation in the Western Cape, South Africa",APPLIED VEGETATION SCIENCE,16,193,204,10.1111/j.1654-109X.2012.01222.x,1,no facilitation study
